Intent,Input,Random sort
Others,"Hi, I'm not up for work today.",0.413666495
Others,"Hi, I'll be seeking medical advice instead of attending school today.",0.176069984
Others,Problems with Schoolwork assignments not loading or opening.,0.755936351
Non MC,"My computer crashed, and I need to take it to the repair shop, so I won't be able to work remotely today.",0.686226751
Non MC,"I have a court appearance that I can't reschedule, so I won't be at work today.",0.04864143
Others,Problems with notifications not working in the Google Classroom app.,0.665236759
Others,Crackling or popping noises from the laptop speakers.,0.781739482
Others,The Apple Pencil is giving me trouble.,0.479137958
Others,"Hi, my son fell sick and I will not be coming to school to take care of him",0.245348618
Others,A black screen with no display.,0.981198394
Others,"Hi there, I'm feeling too sick to go to school.",0.35278261
Others,iPad screen is frozen during a FaceTime call.,0.872071833
Others,There is an issue with my laptop speaker,0.132043957
Others,"Hi there, I'm off to the clinic.",0.436440209
Others,Ghost touches where the screen registers touches without actual contact.,0.644434079
Non MC,"There's a gas leak in my neighborhood, and I need to evacuate my home, so I can't come to work.",0.410325275
Others,"Hi, I need to see a healthcare professional, so I won't be coming to school today.",0.488108845
Others,System freeze triggered by a specific key or key combination.,0.372519853
Others,Freeze during a system restore or recovery process.,0.79526251
Others,A cracked or shattered screen.,0.609939941
Others,System freezing with no error messages or warnings.,0.974201377
Others,Laptop screen stuck on a login or lock screen.,0.581458883
MC,I require a 24-day MC because of a heart-related issue.,0.24056107
MC,I'm interested in obtaining a 3-day MC starting today.,0.68207365
Others,The touchpad not working after a Windows reinstall.,0.912599888
Others,Files missing from the OneDrive folder.,0.759781472
MC,I need to visit the doctor for a 1-day MC due to severe migraines.,0.077476818
Non MC,"I had a major plumbing issue in my home, and I need to wait for the plumber, so I won't be in today.",0.973786003
Others,Touchpad not working after a driver update.,0.054933592
Others,My Apple Pencil is on the fritz.,0.047875157
Others,Network settings on the iPad need to be reset to default.,0.600498922
Non MC,"I have a severe toothache, and I need to see a dentist immediately, so I can't come to work.",0.601509039
Others,I'm experiencing problems with my Apple Pencil.,0.951018544
Others,Difficulty in downloading or updating the Schoolwork app.,0.840567858
Others,IP address conflict on the Wi-Fi network specific to the laptop.,0.885049414
MC,I need a 17-day MC due to a severe sinus infection.,0.788135871
Others,"Hi, I'm feeling too unwell for school.",0.844025387
Non MC,"I have a family event that I can't miss, so I won't be at work today.",0.798883132
Others,My Apple Pencil is inoperative.,0.99742355
Others,Frequent signal interference causing mouse disconnects.,0.080800015
Others,Laptop keyboard not working after a drop or physical impact.,0.468466235
Others,VPN connection issues preventing internet access on the laptop.,0.874331375
Others,OneDrive taking up excessive CPU or memory.,0.83354961
Others,Laptop keyboard not working after a liquid spill.,0.492740881
MC,I must obtain a 33-day MC due to a severe blood disorder.,0.274713623
Others,Difficulty in downloading or reinstalling Proloquo2Go.,0.914173928
Others,Laptop keyboard not working after resuming from sleep or hibernation.,0.721760285
Others,Incorrect date and time settings impacting internet access on the iPad.,0.948586599
Others,Frequent disconnection from Wi-Fi networks on the iPad.,0.97472714
Others,Color distortion or unusual coloration on the display.,0.017279372
Others,Freeze occurring when connecting or disconnecting external devices.,0.146551795
Others,The screen is stuck on a zoomed-in view.,0.648795961
Others,OneDrive not updating shared files.,0.986247473
Others,Screen not rotating when the device is turned.,0.805607486
Others,Screen frozen in a distorted or garbled state.,0.092201931
Others,The touchscreen works intermittently.,0.134983386
Others,OneDrive storage quota exceeded.,0.210674822
Others,Audio playback stops when connecting external devices.,0.40451731
MC,I must get a 7-day MC due to recovery from food poisoning.,0.764425525
Others,Screen flickering when the device is under load.,0.338051649
Others,Freeze happening while running a specific application or software.,0.878114968
MC,I wish to apply for a medical certificate for the next three days.,0.272206395
Others,Difficulty in navigating the Google Classroom interface.,0.973298171
MC,I’m compelled to procure an 11-day MC due to recuperation from a minor vehicular mishap causing contusions and mild concussions.,0.83346383
MC,I must obtain a 28-day MC because of recovery from a hip replacement surgery.,0.721470572
Others,"Hey, I'm feeling under the weather.",0.961735626
Others,OneDrive not syncing on a slow or unstable connection.,0.198224368
Others,"Hi, I'm not feeling well today.",0.098139736
Non MC,"I have a jury duty summons that I can't postpone, so I won't be at work today.",0.700189746
MC,I have to get a 2-day MC from the doctor because of a stomach flu.,0.920995923
MC,"I must secure a 21-day MC due to a kidney infection, with my renal function compromised, necessitating medical intervention and rest.",0.156327045
Others,Bluetooth mouse not working after a system crash or error.,0.02190701
MC,I must obtain a 23-day MC due to a severe liver condition.,0.594199031
Others,"Hi, I'll be absent from school due to a scheduled doctor's appointment.",0.425613193
Others,"Screen displaying a ""jailbreak"" message if the device has been modified.",0.329717955
Others,"Connected to Wi-Fi, but email won't sync on the iPad.",0.939742937
MC,I need an 8-day MC from the doctor for a minor surgical procedure.,0.525742051
Others,My iPad screen is frozen,0.447396111
Others,I have a malfunctioning Apple Pencil.,0.023164366
Others,Bluetooth mouse not working on a specific computer or device.,0.800944124
Others,Proloquo2Go app not launching properly on your iPad.,0.196635953
Others,Certain areas of the screen do not respond to touch.,0.749398398
Others,Laptop speakers not working in a specific user account.,0.734764692
Others,"Hello, I'll be seeking medical attention.",0.781111127
Others,"Hi, I'm not feeling my best today.",0.276239938
Others,Mouse sensitivity settings not adjusting correctly.,0.674685237
Others,iPad cannot connect to a specific known Wi-Fi network.,0.993048249
Others,OneDrive files not accessible offline.,0.138215113
Others,OneDrive not uploading photos from mobile.,0.411765359
MC,"I'm really sorry, but I can't come to work today due to a sudden illness.",0.237732209
MC,"I must garner a 6-day MC as I’m suffering from a dramatic manifestation of urticaria, with welts and hives compromising my physical comfort.",0.237036926
Others,The touchscreen is slow to respond to touch input.,0.765736707
Others,The router firmware needs an update to work with the iPad.,0.872354906
Others,I've got a non-functional Apple Pencil.,0.814257118
Others,"Hi there, I won't be able to attend school today.",0.634464235
Others,Mouse tracking inaccuracies via Bluetooth.,0.088473182
Others,Laptop not detecting any available Wi-Fi networks.,0.407195485
MC,I require a 9-day MC due to a severe ear infection.,0.540849724
Others,The Apple Pencil is not up to par.,0.994466095
MC,"Hi, I'm not feeling well today and will be taking an MC for 3 days",0.329722958
Others,Low or very faint audio from the laptop speakers.,0.110113999
Others,iPad screen is frozen after a software update.,0.546098119
MC,I must garner a 24-day MC as I grapple with a cardiac anomaly necessitating medical supervision and lifestyle modifications.,0.484772354
Others,Unable to create or edit assignments in the Schoolwork app.,0.960255378
Others,Software update required to resolve internet connectivity issues on the iPad.,0.451138319
MC,I have to see the doctor for a 5-day MC due to a sprained ankle.,0.044032238
Others,Laptop constantly disconnecting from Wi-Fi networks.,0.508745867
MC,"I need a 19-day MC due to recuperating from an appendectomy, with my abdomen bearing the brunt of surgical intervention.",0.613490254
Others,The touchpad not working when an external mouse is connected.,0.169970335
Others,iPad screen is unresponsive after a water spill.,0.048535225
MC,I require a 34-day MC because of recovery from a mastectomy.,0.695238934
Others,No internet connectivity on the laptop.,0.462791651
Others,The touchpad not working in safe mode.,0.645041939
Others,Problems with the Google Classroom app not displaying class materials.,0.454380363
Others,Uneven volume balance between the laptop speakers.,0.456612744
Others,Laptop screen frozen after a software crash or error message.,0.279506195
Others,OneDrive not syncing on macOS.,0.439976752
Others,My Apple Pencil is not operating correctly.,0.619989723
Others,The Apple Pencil is defective.,0.861347581
MC,I must obtain a 38-day MC because of recovery from a neurological surgery.,0.588365194
Others,"Hi, I won't be able to make it to class today due to a doctor's visit.",0.856107303
Others,Unable to sign in to OneDrive.,0.049363107
Others,Laptop keyboard producing beeping sounds when keys are pressed.,0.995679041
Others,"Hello, I'll be at the doctor's office.",0.717381151
Others,"Hi, I'll be seeking medical advice.",0.289696264
Others,Wi-Fi connection drops when the iPad goes to sleep.,0.888256015
Others,Scrolling on the touchpad not working or working in the wrong direction.,0.499847029
Others,Audio is too loud and distorted even at low volume settings.,0.854149441
Others,The laptop keyboard is typing the wrong characters.,0.389692388
Others,"Hi, I'll be absent from school today.",0.154284494
Others,Laptop freezing while playing video or during a video call.,0.801517526
MC,"I'm looking to get a medical certificate for three days, starting today.",0.718304927
Others,"Hi, I'll be resting at home instead of going to school.",0.68683896
Others,Issues with OneDrive for Business.,0.717383536
Others,"Hi, I won't be able to make it to class today.",0.578219189
Others,Taskbar and desktop icons unresponsive.,0.118334106
Others,"Hey, I have a medical appointment today.",0.007355912
MC,I need an MC for today and the following two days.,0.159671964
Others,Slow internet connection speed on the laptop.,0.648727826
Others,"Connected to Wi-Fi, but web pages won't load on the iPad.",0.172913723
Others,Laptop speakers not responding to volume adjustments.,0.608508493
Others,OneDrive not syncing with SharePoint.,0.292234251
Others,Slow internet speed on the iPad.,0.950913266
Others,Mouse buttons performing unintended actions via Bluetooth.,0.050021683
MC,"My child's school called, and they're sick, so I need to pick them up, and I won't be at work today.",0.383732678
MC,"I had an unexpected dental emergency and need to see the dentist, so I won't be in today.",0.80509841
Others,The touchpad not working after a recent software installation.,0.43320528
Others,I'm dealing with a faulty Apple Pencil.,0.330555154
MC,I need a 16-day MC as I’m in the recovery phase post a corrective eye surgery aimed at rectifying a vision impairment issue.,0.792703705
Others,"Error message on the iPad, such as ""Unable to Join Network.""",0.845621391
MC,I require a 14-day MC because of a fractured wrist.,0.687976755
Non MC,"I had a sudden and severe allergic reaction to a food I ate, and I need to go to the hospital, so I won't be at work.",0.380827895
Others,Files being deleted from OneDrive unexpectedly.,0.528633871
Others,Num Lock or Caps Lock key LEDs not indicating their status.,0.355566526
MC,"I’m necessitated to acquire a 26-day MC as I deal with chronic obstructive pulmonary disease exacerbation, impairing my respiratory function.",0.073176436
MC,"My child is unwell, and I need to take care of them, so I won't be able to make it to work.",0.476473507
Others,Google Classroom app crashes immediately upon opening.,0.098314221
MC,I need a 45-day MC due to a severe digestive system disorder.,0.410918121
Others,The screen going completely dim even when the brightness is set high.,0.148189543
Others,Sound problems occurring only when using specific media players or software.,0.790869775
Others,Issues with submitting assignments or receiving feedback.,0.352911037
Others,One speaker not working (left or right channel).,0.573273716
Others,The laptop keyboard is typing multiple characters with a single keypress.,0.697008405
Others,"Hi, I need to see a healthcare professional.",0.375821792
Others,OneDrive icon missing from the system tray.,0.844491517
Others,"Hey, I'm taking a sick day from school.",0.176374329
MC,I require a 19-day MC due to recovery from appendicitis surgery.,0.903537213
Others,Laptop speakers not detected in the audio playback devices.,0.252127216
Others,The Apple Pencil seems to be malfunctioning.,0.294047074
Others,"Screen displaying a ""no signal"" message.",0.274628519
Others,My iPad screen is faulty,0.007356276
Others,"Connected to Wi-Fi, but email won't sync on the laptop.",0.447749442
Others,"Connected to Wi-Fi, but no internet access on the iPad.",0.330010626
Non MC,"My elderly relative needs urgent assistance, and I'm the only one available to help, so I can't come to work.",0.278127169
MC,I must secure a 2-day MC as I am afflicted with a virulent strain of gastroenteritis causing debilitating abdominal cramps and nausea.,0.347752484
MC,I want to take a 3-day MC starting today.,0.925388015
Others,Screen displaying random patterns or characters.,0.582866899
Others,"Mouse cursor moving, but clicks have no effect.",0.220779836
Others,iPad unable to detect any available Wi-Fi networks.,0.142780898
Others,"The screen is stuck on the ""Connect to iTunes"" message.",0.450047789
Others,Certain keys on the laptop keyboard not working.,0.484830623
MC,I have to get a 16-day MC because of recovery from eye surgery.,0.311950149
Others,Issues with uploading assignments or files to Google Classroom.,0.147026087
Others,The touchpad not working on a specific brand or model of laptop.,0.314015546
Others,Keyboard keycaps falling off or missing.,0.329116665
MC,I'd like to secure a 3-day medical leave starting today.,0.166313629
Others,Network settings on the laptop need to be reset to default.,0.658483715
MC,"I intend to take a 3-day medical leave, starting today.",0.434652687
Others,System becoming unresponsive while multitasking.,0.719310092
Others,Some laptop keyboard keys feel mushy or unresponsive.,0.803615889
Others,The iPad screen is frozen after connecting to a specific accessory.,0.43320643
Others,The screen is frozen during a software download.,0.09044775
Others,The screen showing a distorted image.,0.218341784
Others,"Hi, I have a doctor's appointment that prevents me from attending school.",0.592696954
Others,Complete screen freeze with no response to keyboard or mouse input.,0.521858704
MC,I must obtain a 43-day MC due to a severe immune system disorder.,0.154551835
Others,Touchpad freezing or becoming unresponsive intermittently.,0.541384021
Others,Sound problems arising after a Windows update.,0.700361342
MC,"I slipped and fell on the ice this morning, and I'm in too much pain to come to work.",0.699502159
Others,Unable to find Google Classroom after installing it from the App Store.,0.437461043
MC,I must obtain an 18-day MC because of a broken leg.,0.51740041
Others,"Hi, I need to call in sick.",0.292456319
Others,"Hi, I need to see a healthcare professional, so I won't be coming to school.",0.786481615
Others,The touchpad is overly sensitive and registers unintended movements.,0.412833235
MC,"I’m compelled to obtain a 23-day MC due to liver cirrhosis, requiring careful monitoring and medication to stabilize my condition.",0.76132342
Non MC,"My internet is down, and I can't work from home without it, so I won't be at work.",0.247817761
MC,I'd like to take medical leave for today and the next two days.,0.86287545
Others,"Hey, I'm taking a sick day from school because of a doctor's appointment.",0.811353466
Others,Right-click context menu not appearing when tapping the touchpad.,0.479299215
Others,My Apple Pencil is not in working condition.,0.604403415
Others,Software update needed to fix internet connectivity issues on the laptop.,0.936501599
Others,Incorrect Wi-Fi password entered on the iPad.,0.83333542
